Month, Saṁvatsara, Parivatsara, Idāvatsara, Anuvatsara, Idvatsara 
Māgha, 30, 29, 29, 29, 29
Phālguna, 30, 30, 30, 30, 30
Caitra, 29, 29, 29, 29, 29
Vaisakha, 30, 30, 30, 30, 30
Jyaiştha, 29, 29, 29, 29, 29
Aşādha, 30, 30, 30, 30, 30
Srāvana (adhika), -, -, 29, -, -
Srāvana, 29, 29, 29, 29, 29
Bhādrapada, 30, 30, 30, 30, 30
Asvina, 29, 29, 29, 29, 29
Kārtika, 30, 30, 30, 30, 30
Mārgasirsa, 29, 29, 29, 29, 29
Pauṣa, 30, 30, 30, 30, 30
Māgha (adhika), -, -, -, -, 29/30
Total, 355, 354, 384, 354, 383/384